discovery_index,play_name,video_id,clip_name,tracking_file,tracking_kind,key_actions_source,player_track_source,player_tracks_resolved,template_source,output_directory,preflight_status,preflight_failure_type,execution_state,status,warning_count,error_count,unknown_track_count,missing_box_warning_count,ball_track_count,has_unknown_tracks,has_missing_box_warnings,has_no_ball_track,num_tracks,num_player_tracks,num_ball_tracks,num_action_segments,elapsed_seconds,failure_type,message,traceback_file
60,BootPass,61,BootPass_61,BootPass/BootPass_61_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_61,READY,,PROCESSED,FAILED,110,2,29,50,0,True,True,True,29,29,0,67,2.533,enrichment,Enriched with 2 validation error(s),
61,BootPass,62,BootPass_62,BootPass/BootPass_62_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_62,READY,,PROCESSED,FAILED,174,2,43,83,0,True,True,True,43,43,0,94,2.831,enrichment,Enriched with 2 validation error(s),
62,BootPass,63,BootPass_63,BootPass/BootPass_63_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_63,READY,,PROCESSED,FAILED,141,2,36,67,0,True,True,True,36,36,0,87,2.559,enrichment,Enriched with 2 validation error(s),
63,BootPass,64,BootPass_64,BootPass/BootPass_64_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_64,READY,,PROCESSED,FAILED,133,2,35,61,2,True,True,False,37,35,2,80,2.712,enrichment,Enriched with 2 validation error(s),
64,BootPass,65,BootPass_65,BootPass/BootPass_65_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_65,READY,,PROCESSED,FAILED,104,3,32,38,0,True,True,True,32,32,0,64,3.366,enrichment,Enriched with 3 validation error(s),
65,BootPass,66,BootPass_66,BootPass/BootPass_66_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_66,READY,,PROCESSED,FAILED,118,2,31,54,0,True,True,True,31,31,0,76,3.062,enrichment,Enriched with 2 validation error(s),
66,BootPass,67,BootPass_67,BootPass/BootPass_67_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_67,READY,,PROCESSED,FAILED,132,2,34,60,0,True,True,True,34,34,0,65,2.276,enrichment,Enriched with 2 validation error(s),
67,BootPass,68,BootPass_68,BootPass/BootPass_68_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_68,READY,,PROCESSED,FAILED,216,2,53,107,0,True,True,True,53,53,0,115,2.388,enrichment,Enriched with 2 validation error(s),
68,BootPass,69,BootPass_69,BootPass/BootPass_69_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_69,READY,,PROCESSED,FAILED,147,2,38,68,0,True,True,True,38,38,0,77,2.083,enrichment,Enriched with 2 validation error(s),
69,BootPass,70,BootPass_70,BootPass/BootPass_70_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_70,READY,,PROCESSED,FAILED,93,2,24,41,0,True,True,True,24,24,0,49,2.834,enrichment,Enriched with 2 validation error(s),
